Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
12.8667,739,1,,
12.8833,740,1,,
12.9,741,1,,
12.9167,742,1,,
12.9333,743,1,,
12.95,744,1,,
12.9667,745,1,,
12.9833,746,1,,
13,747,1,,
13.0167,748,1,,
13.0333,749,1,,
13.05,750,1,,
13.0667,751,1,,
13.0833,752,1,,
13.1,753,1,,
13.1167,754,1,,
13.1333,755,1,,
13.15,756,1,,
13.1667,757,1,,
13.1833,758,1,,
13.2,759,1,,
13.2167,760,1,,
13.2333,761,1,,
13.25,762,1,,
13.2667,763,1,,
13.2833,764,1,,
13.3,765,1,,
13.3167,766,1,,
13.3333,767,1,,
13.35,768,1,,
13.3667,769,1,,
13.3833,770,1,,
13.4,771,1,,
13.4167,772,1,,
13.4333,773,1,,
13.45,774,1,,
13.4667,775,1,,
13.4833,776,1,,
13.5,777,1,,
13.5167,778,1,,
13.5333,779,1,,
13.55,780,1,,
13.5667,781,1,,
13.5833,782,1,,
13.6,783,1,,
13.6167,784,1,,
13.6333,785,1,,
13.65,786,1,,
13.6667,787,1,,
13.6833,788,1,,
13.7,789,1,,
13.7167,790,1,,
13.7333,791,1,,
13.75,792,1,,
13.7667,793,1,,
13.7833,794,1,,
13.8,795,1,,
13.8167,796,1,,
13.8333,797,1,,
13.85,798,1,,
13.8667,799,1,,
13.8833,800,1,,
13.9,801,1,,
13.9167,802,1,,
13.9333,803,1,,
13.95,804,1,,
13.9667,805,1,,
13.9833,806,1,,
14,807,1,,
14.0167,808,1,,
14.0333,809,1,,
14.05,810,1,,
14.0667,811,1,,
14.0833,812,1,,
14.1,813,1,,
14.1167,814,1,,
14.1333,815,1,,
14.15,816,1,,
14.1667,817,1,,
14.1833,818,1,,
14.2,819,1,,
14.2167,820,1,,
14.2333,821,1,,
14.25,822,1,,
14.2667,823,1,,
14.2833,824,1,,
14.3,825,1,,
14.3167,826,1,,
14.3333,827,1,,
14.35,828,1,,
14.3667,829,1,,
14.3833,830,1,,
14.4,831,1,,
14.4167,832,1,,
14.4333,833,1,,
14.45,834,1,,
14.4667,835,1,,
14.4833,836,1,,
14.5,837,1,,
14.5167,838,1,,
14.5333,839,1,,
14.55,840,1,,
14.5667,841,1,,
14.5833,842,1,,
14.6,843,1,,
14.6167,844,1,,
14.6333,845,1,,
14.65,846,1,,
14.6667,847,1,,
14.6833,848,1,,
14.7,849,1,,
14.7167,850,1,,
14.7333,851,1,,
14.75,852,1,,
14.7667,853,1,,
14.7833,854,1,,
14.8,855,1,,
14.8167,856,1,,
14.8333,857,1,,
14.85,858,1,,
14.8667,859,1,,
14.8833,860,1,,
14.9,861,1,,
14.9167,862,1,,
14.9333,863,1,,
14.95,864,1,,
14.9667,865,1,,
14.9833,866,1,,
15,867,1,,
15.0167,868,1,,
15.0333,869,1,,
15.05,870,1,,
15.0667,871,1,,
15.0833,872,1,,
15.1,873,1,,
15.1167,874,1,,
15.1333,875,1,,
15.15,876,1,,
15.1667,877,1,,
15.1833,878,1,,
15.2,879,1,,
15.2167,880,1,,
15.2333,881,1,,
