Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
14.9167,864,1,,
14.9333,865,1,,
14.95,866,1,,
14.9667,867,1,,
14.9833,868,1,,
15,869,1,,
15.0167,870,1,,
15.0333,871,1,,
15.05,872,1,,
15.0667,873,1,,
15.0833,874,1,,
15.1,875,1,,
15.1167,876,1,,
15.1333,877,1,,
15.15,878,1,,
15.1667,879,1,,
15.1833,880,1,,
15.2,881,1,,
15.2167,882,1,,
15.2333,883,1,,
15.25,884,1,,
15.2667,885,1,,
15.2833,886,1,,
15.3,887,1,,
15.3167,888,1,,
15.3333,889,1,,
15.35,890,1,,
15.3667,891,1,,
15.3833,892,1,,
15.4,893,1,,
15.4167,894,1,,
15.4333,895,1,,
15.45,896,1,,
15.4667,897,1,,
15.4833,898,1,,
15.5,899,1,,
15.5167,900,1,,
15.5333,901,1,,
15.55,902,1,,
15.5667,903,1,,
15.5833,904,1,,
15.6,905,1,,
15.6167,906,1,,
15.6333,907,1,,
15.65,908,1,,
15.6667,909,1,,
15.6833,910,1,,
15.7,911,1,,
15.7167,912,1,,
15.7333,913,1,,
15.75,914,1,,
15.7667,915,1,,
15.7833,916,1,,
15.8,917,1,,
15.8167,918,1,,
15.8333,919,1,,
15.85,920,1,,
15.8667,921,1,,
15.8833,922,1,,
15.9,923,1,,
15.9167,924,1,,
15.9333,925,1,,
15.95,926,1,,
15.9667,927,1,,
15.9833,928,1,,
16,929,1,,
16.0167,930,1,,
16.0333,931,1,,
16.05,932,1,,
16.0667,933,1,,
16.0833,934,1,,
16.1,935,1,,
16.1167,936,1,,
16.1333,937,1,,
16.15,938,1,,
16.1667,939,1,,
16.1833,940,1,,
16.2,941,1,,
16.2167,942,1,,
16.2333,943,1,,
16.25,944,1,,
16.2667,945,1,,
16.2833,946,1,,
16.3,947,1,,
16.3167,948,1,,
16.3333,949,1,,
16.35,950,1,,
16.3667,951,1,,
16.3833,952,1,,
16.4,953,1,,
16.4167,954,1,,
16.4333,955,1,,
16.45,956,1,,
16.4667,957,1,,
16.4833,958,1,,
16.5,959,1,,
16.5167,960,1,,
16.5333,961,1,,
16.55,962,1,,
16.5667,963,1,,
16.5833,964,1,,
16.6,965,1,,
16.6167,966,1,,
16.6333,967,1,,
16.65,968,1,,
16.6667,969,1,,
16.6833,970,1,,
16.7,971,1,,
16.7167,972,1,,
16.7333,973,1,,
16.75,974,1,,
